Item	Category	Sources
Bangle of Early Antiquity	Instance	Eden's Gate: Resurrection	Eden's Gate: Descent	Eden's Gate: Inundation	Eden's Gate: Sepulture
Chausses of Golden Antiquity	Instance	Eden's Verse: Fulmination	Eden's Verse: Furor	Eden's Verse: Iconoclasm	Eden's Verse: Refulgence
Helm of Lost Antiquity	Instance	Eden's Promise: Umbra	Eden's Promise: Litany	Eden's Promise: Anamorphosis
Unsung Helm of Asphodelos	Instance	Asphodelos: The First Circle	Asphodelos: The Second Circle	Asphodelos: The Third Circle
Gauntlets of Lost Antiquity	Instance	Eden's Promise: Umbra	Eden's Promise: Litany	Eden's Promise: Anamorphosis	Eden's Promise: Eternity
Greaves of Golden Antiquity	Instance	Eden's Verse: Fulmination	Eden's Verse: Furor	Eden's Verse: Refulgence
Bangle of Lost Antiquity	Instance	Eden's Promise: Umbra	Eden's Promise: Litany	Eden's Promise: Anamorphosis	Eden's Promise: Eternity
Armor of Lost Antiquity	Instance	Eden's Promise: Umbra	Eden's Promise: Litany	Eden's Promise: Anamorphosis	Eden's Promise: Eternity
Unsung Gauntlets of Asphodelos	Instance	Asphodelos: The First Circle	Asphodelos: The Second Circle	Asphodelos: The Third Circle	Asphodelos: The Fourth Circle
Unsung Greaves of Abyssos	Instance	Abyssos: The Fifth Circle	Abyssos: The Sixth Circle	Abyssos: The Eighth Circle
Unsung Chausses of Abyssos	Instance	Abyssos: The Fifth Circle	Abyssos: The Sixth Circle	Abyssos: The Seventh Circle	Abyssos: The Eighth Circle
Unsung Armor of Asphodelos	Instance	Asphodelos: The First Circle	Asphodelos: The Second Circle	Asphodelos: The Third Circle	Asphodelos: The Fourth Circle
Unsung Armor of Abyssos	Instance	Abyssos: The Fifth Circle	Abyssos: The Sixth Circle	Abyssos: The Seventh Circle	Abyssos: The Eighth Circle
Unsung Blade of Asphodelos	Instance	Asphodelos: The Fourth Circle
Unsung Ring of Abyssos	Instance	Abyssos: The Fifth Circle	Abyssos: The Sixth Circle	Abyssos: The Seventh Circle	Abyssos: The Eighth Circle
Gordian Manifesto - Page 1	Instance	Alexander - The Fist of the Father (Savage)
Gordian Manifesto - Page 2	Instance	Alexander - The Cuff of the Father (Savage)
Unsung Greaves of Asphodelos	Instance	Asphodelos: The First Circle	Asphodelos: The Second Circle	Asphodelos: The Fourth Circle
Gordian Manifesto - Page 4	Instance	Alexander - The Burden of the Father (Savage)
Unsung Gauntlets of Abyssos	Instance	Abyssos: The Fifth Circle	Abyssos: The Sixth Circle	Abyssos: The Seventh Circle	Abyssos: The Eighth Circle
Midan Manifesto - Page 2	Instance	Alexander - The Cuff of the Son (Savage)
Midan Manifesto - Page 1	Instance	Alexander - The Fist of the Son (Savage)
Midan Manifesto - Page 4	Instance	Alexander - The Burden of the Son (Savage)
Unsung Ring of Asphodelos	Instance	Asphodelos: The First Circle	Asphodelos: The Second Circle	Asphodelos: The Third Circle	Asphodelos: The Fourth Circle
Unsung Helm of Abyssos	Instance	Abyssos: The Fifth Circle	Abyssos: The Sixth Circle	Abyssos: The Seventh Circle
Gordian Manifesto - Page 3	Instance	Alexander - The Arm of the Father (Savage)
Midan Manifesto - Page 3	Instance	Alexander - The Arm of the Son (Savage)
Unsung Blade of Abyssos	Instance	Abyssos: The Eighth Circle
Alexandrian Manifesto - Page 1	Instance	Alexander - The Eyes of the Creator (Savage)
Alexandrian Manifesto - Page 2	Instance	Alexander - The Breath of the Creator (Savage)
Unsung Chausses of Asphodelos	Instance	Asphodelos: The First Circle	Asphodelos: The Second Circle	Asphodelos: The Third Circle	Asphodelos: The Fourth Circle
Ivon Coeurlfist Doll	Instance	The Temple of the Fist
Wind-up Scathach	Instance	Dun Scaith
Toy Alexander	Instance	Alexander - The Soul of the Creator	Alexander - The Soul of the Creator (Savage)
Wind-up Calofisteri	Instance	The Weeping City of Mhach
Road Sparrow	Instance	Bardam's Mettle
Mock-up Grynewaht	Instance	Doma Castle
Bullpup	Instance	Baelsar's Wall
Shaggy Shoat	Instance	Xelphatol
Bombfish	Instance	Shisui of the Violet Tides
Dress-up Yugiri	Instance	Kugane Castle
Ephemeral Necromancer	Instance	The Heroes' Gauntlet
Griffin Card	Instance	The Dusk Vigil
Ruby Tide Ring of Slaying	Instance	Shisui of the Violet Tides
Ruby Tide Ring of Healing	Instance	Shisui of the Violet Tides
Ghost Barque Ring of Fending	Instance	The Sirensong Sea
Nomad's Ring of Slaying	Instance	Bardam's Mettle
Ghost Barque Ring of Healing	Instance	The Sirensong Sea
Alexandrian Ring of Slaying	Instance	Alexander - The Eyes of the Creator (Savage)
Nomad's Ring of Aiming	Instance	Bardam's Mettle
Augmented Shire Preceptor's Ring	Loot	Shire Preceptor's Accessories Coffer
Alexandrian Ring of Fending	Instance	Alexander - The Eyes of the Creator (Savage)
Augmented Shire Pankratiast's Ring	Loot	Shire Pankratiast's Accessories Coffer
Augmented Shire Conservator's Ring	Loot	Shire Conservator's Accessories Coffer
Ghost Barque Ring of Slaying	Instance	The Sirensong Sea
Ruby Tide Ring of Fending	Instance	Shisui of the Violet Tides
Nomad's Ring of Healing	Instance	Bardam's Mettle
Ghost Barque Ring of Casting	Instance	The Sirensong Sea
Faded Copy of Under the Moonlight	Instance	The Minstrel's Ballad: Tsukuyomi's Pain
Faded Copy of To the Edge	Instance	The Seat of Sacrifice (Extreme)
Faded Copy of Woe That Is Madness	Instance	The Limitless Blue (Extreme)
Faded Copy of Voidcast Savior	Instance	The Voidcast Dais (Extreme)
Faded Copy of Forged in Crimson	Instance	Mount Ordeals (Extreme)
Faded Copy of Ultima (The Primals)	Instance	Cinder Drift (Extreme)
Faded Copy of Insanity	Instance	The Crown of the Immaculate (Extreme)
Faded Copy of What Angel Wakes Me	Instance	The Dancing Plague (Extreme)
Faded Copy of Endcaller	Instance	The Minstrel's Ballad: Zodiark's Fall
Faded Copy of Unbending Steel	Instance	Thok ast Thok (Extreme)
Melee Boots	Loot	Melee Attire Coffer (IL 90)
Faded Copy of Infinity	Instance	Containment Bay Z1T9 (Extreme)
Faded Copy of Beauty's Wicked Wiles	Instance	Emanation (Extreme)
Faded Copy of Battle with the Four Fiends (Buried Memory)	Instance	Storm's Crown (Extreme)
Faded Copy of Sunrise	Instance	Hells' Kier (Extreme)
Allagan Sollerets of Aiming	Loot	Allagan Foot Gear Coffer (IL 90)
Bard's Sandals	Loot	Bard's Attire Coffer (IL 90)
Boots of the Divine Hero	Instance	Hullbreaker Isle	The Tam-Tara Deepcroft (Hard)	The Stone Vigil (Hard)
Sabatons of the Divine War	Instance	Hullbreaker Isle	The Tam-Tara Deepcroft (Hard)	The Stone Vigil (Hard)
Allagan Boots of Healing	Loot	Allagan Foot Gear Coffer (IL 90)
Crakows of the Divine Harvest	Instance	Hullbreaker Isle	The Tam-Tara Deepcroft (Hard)	The Stone Vigil (Hard)
Saurian Boots of Healing	Loot	Astrologian's Attire Coffer (IL 90)
Allagan Boots of Casting	Loot	Allagan Foot Gear Coffer (IL 90)
Hussar's Jackboots	Instance	The Lost City of Amdapor	Halatali (Hard)	Brayflox's Longstop (Hard)
Sabatons of Light	Instance	The Labyrinth of the Ancients
Argute Boots	Loot	Argute Attire Coffer (IL 90)
Fuma Kyahan	Instance	The Labyrinth of the Ancients
Crakows of Divine Death	Instance	Hullbreaker Isle	The Tam-Tara Deepcroft (Hard)	The Stone Vigil (Hard)
Koga Kyahan	Loot	Koga Garb Coffer (IL 90)
Allagan Sollerets of Maiming	Loot	Allagan Foot Gear Coffer (IL 90)
Sorcerer's Crakows	Loot	Sorcerer's Attire Coffer (IL 90)
Protector's Sollerets	Instance	The Lost City of Amdapor	Halatali (Hard)	Brayflox's Longstop (Hard)
Onion Boots	Instance	The Labyrinth of the Ancients
Heavy Wolfram Sabatons	Loot	Dark Knight's Armor Coffer (IL 90)
Boots of the Divine Light	Instance	Hullbreaker Isle	The Tam-Tara Deepcroft (Hard)	The Stone Vigil (Hard)
Darklight Caligae of Striking	Instance	The Lost City of Amdapor	Halatali (Hard)	Brayflox's Longstop (Hard)
Summoner's Thighboots	Loot	Summoner's Attire Coffer (IL 90)
Sabatons of Divine Wisdom	Instance	Hullbreaker Isle	The Tam-Tara Deepcroft (Hard)	The Stone Vigil (Hard)
Garuda Card	Instance	The Howling Eye (Hard)	The Howling Eye (Extreme)
Wyrm's Greaves	Loot	Wyrm's Armor Coffer (IL 90)
Crimson Shoes	Instance	The Labyrinth of the Ancients
Ramuh Card	Instance	The Striking Tree (Hard)	The Striking Tree (Extreme)
Gilgamesh & Enkidu Card	Instance	Battle on the Big Bridge
Onion Knight Card	Instance	The World of Darkness
Bartz Klauser Card	Instance	Battle in the Big Keep
Ultima Weapon Card	Instance	The Minstrel's Ballad: Ultima's Bane
Ifrit Card	Instance	The Bowl of Embers (Hard)	The Bowl of Embers (Extreme)
Terra Branford Card	Instance	The Dragon's Neck
Shiva Card	Instance	The Akh Afah Amphitheatre (Hard)	The Akh Afah Amphitheatre (Extreme)
Odin Card	Instance	Urth's Fount
Gaius van Baelsar Card	Instance	The Praetorium
Leviathan Card	Instance	The Whorleater (Hard)	The Whorleater (Extreme)
Livia sas Junius Card	Instance	Castrum Meridianum
Lava Scorpion Card	Instance	Sohm Al (Hard)
Curator Card	Instance	The Fractal Continuum
Sophia Card	Instance	Containment Bay P1T6	Containment Bay P1T6 (Extreme)
Manxome Molaa Ja Ja Card	Instance	The Wanderer's Palace (Hard)
Strix Card	Instance	The Great Gubal Library (Hard)
Fenrir Card	Instance	Snowcloak
Waukkeon Card	Instance	Neverreap
Ferdiad Card	Instance	Amdapor Keep (Hard)
Tozol Huatotl Card	Instance	Xelphatol
Xande Card	Instance	Syrcus Tower
Brute Justice Card	Instance	Alexander - The Burden of the Son
Kuribu Card	Instance	The Lost City of Amdapor (Hard)
Phlegethon Card	Instance	The Labyrinth of the Ancients
Kraken Card	Instance	Sastasha (Hard)
Vicegerent to the Warden Card	Instance	The Sunken Temple of Qarn (Hard)
Mistbeard Card	Instance	Hullbreaker Isle (Hard)
Calcabrina Card	Instance	The Antitower
Hraesvelgr Card	Instance	Sohr Khai
The Open Box Orchestrion Roll	Instance	Shisui of the Violet Tides
Most Unworthy Orchestrion Roll	Instance	Bardam's Mettle
Earth Cluster	Loot	Thunder Rock	Earthen Quartz	Doman Yellow	White Clay	Lunar Quartz	Granular Clay	Peat Moss	Black Soil	Humic Soil	Prime Siderite	Sublime Siderite
Bibliophobia Orchestrion Roll	Instance	The Great Gubal Library (Hard)
Wind Crystal	Loot	Highland Oregano	Furymint	Clary Sage	Pot Marjoram	Water Mint	Wild Sage	Yanxian Soil	Windtea Leaves	Sweet Marjoram	Countess Tea Leaves	Ewer Clay	Prime Crystalbloom	Sublime Crystalbloom
Wind Crystal	Instance	The Sirensong Sea	Shisui of the Violet Tides	Bardam's Mettle	Doma Castle	Castrum Abania
Wind Crystal	Drop	dbff0b69b7b	120eb00cec1	3a7a65a3773	2b1a8f91862	738d4064abc	567299f33f4	0bfff17dd11
Ice Shard	Instance	The Sunken Temple of Qarn	The Sirensong Sea	Shisui of the Violet Tides	Bardam's Mettle	Doma Castle	Castrum Abania
Fire Crystal	Loot	Almandine	Rhodolite	Fire Moraine	Radiant Fire Moraine	Bright Fire Rock	Shade Quartz	Palm Chippings	Sophora Roots	Prime Haritaki	Sublime Haritaki
Fire Crystal	Instance	The Sirensong Sea	Shisui of the Violet Tides	Bardam's Mettle	Doma Castle	Castrum Abania
Fire Crystal	Drop	5d8dd94c8d9	498e346a750	31b136a21ad	9b52b0dc731
Lightning Cluster	Loot	Yanxian Verbena	Schorl	Lightning Moraine	Radiant Lightning Moraine	Bright Lightning Rock	Solarite	Ghostly Umbral Rock	Levin Mint	Prime Achondrite	Sublime Achondrite
Ice Cluster	Loot	Manasail	Pteranodon	Tupuxuara	False Scad	Voeburt Bichir	Fuchsia Bloom	Red Bowfin	Gilled Topknot	Verdigris Guppy	Lover's Laurel	Torreya Branch	Bog Sage	Mayashell	Phyllinos	The Fury's Aegis
Earth Shard	Instance	The Sunken Temple of Qarn	The Sirensong Sea	Shisui of the Violet Tides	Bardam's Mettle	Doma Castle	Castrum Abania
Earth Shard	Drop	123f813fc67
Wind Cluster	Loot	Highland Oregano	Furymint	Clary Sage	Pot Marjoram	Water Mint	Wild Sage	Yanxian Soil	Windtea Leaves	Sweet Marjoram	Countess Tea Leaves	Ewer Clay	Prime Crystalbloom	Sublime Crystalbloom
Fire Shard	Instance	The Sunken Temple of Qarn	The Sirensong Sea	Shisui of the Violet Tides	Bardam's Mettle	Doma Castle	Castrum Abania
Lightning Shard	Instance	The Sunken Temple of Qarn	The Sirensong Sea	Shisui of the Violet Tides	Bardam's Mettle	Doma Castle	Castrum Abania
Lightning Shard	Drop	fbdbf1cb169
Far From Home Orchestrion Roll	Instance	The Drowned City of Skalla
Fire Cluster	Loot	Almandine	Rhodolite	Fire Moraine	Radiant Fire Moraine	Bright Fire Rock	Shade Quartz	Palm Chippings	Sophora Roots	Prime Haritaki	Sublime Haritaki
Water Shard	Instance	The Sunken Temple of Qarn	The Sirensong Sea	Shisui of the Violet Tides	Bardam's Mettle	Doma Castle	Castrum Abania
Water Shard	Drop	a66c9a3587d	2a10b2189b7
Lightning Crystal	Loot	Yanxian Verbena	Schorl	Lightning Moraine	Radiant Lightning Moraine	Bright Lightning Rock	Solarite	Ghostly Umbral Rock	Levin Mint	Prime Achondrite	Sublime Achondrite
Lightning Crystal	Instance	The Sirensong Sea	Shisui of the Violet Tides	Bardam's Mettle	Doma Castle	Castrum Abania
Lightning Crystal	Drop	fbdbf1cb169	71ca0b7dfd4	cb3da5c2aac	298ca918cfe	0f90bb150bd	4b2cb307cf0
Wind Shard	Instance	The Sunken Temple of Qarn	The Sirensong Sea	Shisui of the Violet Tides	Bardam's Mettle	Doma Castle	Castrum Abania
Wind Shard	Drop	120eb00cec1
Water Crystal	Loot	Dravanian Bass	Caiman	Thaliak Caiman	Sweatfish	Snow Crab	Predator	Poecilia	Eehs Forhnesh	Othardian Lumpsucker	Nosceasaur	Perlite	Gale Rock	Dacite	Radiant Astral Moraine	Prime Chloroschist	Sublime Chloroschist	Prime Sphongos	Sublime Sphongos
Water Crystal	Instance	The Sirensong Sea	Shisui of the Violet Tides	Bardam's Mettle	Doma Castle	Castrum Abania
Water Crystal	Drop	a66c9a3587d	f00427c3c29	2c0be620262	8417d57a810	00b330561fd	981c3a3cc07
Water Cluster	Loot	Dravanian Bass	Caiman	Thaliak Caiman	Sweatfish	Snow Crab	Predator	Poecilia	Eehs Forhnesh	Othardian Lumpsucker	Nosceasaur	Perlite	Gale Rock	Dacite	Radiant Astral Moraine	Prime Chloroschist	Sublime Chloroschist	Prime Sphongos	Sublime Sphongos
Poison Ivy Orchestrion Roll	Instance	Saint Mocianne's Arboretum
Ice Crystal	Loot	Manasail	Pteranodon	Tupuxuara	False Scad	Voeburt Bichir	Fuchsia Bloom	Red Bowfin	Gilled Topknot	Verdigris Guppy	Lover's Laurel	Torreya Branch	Bog Sage	Mayashell	Phyllinos	The Fury's Aegis
Ice Crystal	Instance	The Sirensong Sea	Shisui of the Violet Tides	Bardam's Mettle	Doma Castle	Castrum Abania
Ice Crystal	Drop	421d0320bf9	f6e2a36424d	56f4cacc9c4	7957a1aac36
Calofisteri Card	Instance	The Weeping City of Mhach
Aurum Gauntlets	Instance	The Aurum Vale
Dark Divinity Hanzkar	Instance	Urth's Fount
Aurum Armguards	Instance	The Aurum Vale
Augmented Primal Bracelet of Fending	Loot	Primal Accessories of Fending Coffer (IL 240)
Filibuster's Bracelet of Casting	Instance	Baelsar's Wall	Sohm Al (Hard)
Dzemael Pugiones	Instance	Dzemael Darkhold
Midan Bracelets of Slaying	Instance	Alexander - The Fist of the Son (Savage)
Augmented Primal Bracelet of Aiming	Loot	Primal Accessories of Aiming Coffer (IL 240)
Filibuster's Bracelet of Slaying	Instance	Baelsar's Wall	Sohm Al (Hard)
Augmented Primal Bracelet of Healing	Loot	Primal Accessories of Healing Coffer (IL 240)
Midan Bracelets of Healing	Instance	Alexander - The Fist of the Son (Savage)
Filibuster's Bracelet of Aiming	Instance	Baelsar's Wall	Sohm Al (Hard)
Midan Bracelets of Aiming	Instance	Alexander - The Fist of the Son (Savage)
Augmented Primal Bracelet of Slaying	Loot	Primal Accessories of Slaying Coffer (IL 240)
Filibuster's Bracelet of Healing	Instance	Baelsar's Wall	Sohm Al (Hard)
Midan Bracelets of Casting	Instance	Alexander - The Fist of the Son (Savage)
Augmented Primal Bracelet of Casting	Loot	Primal Accessories of Casting Coffer (IL 240)
Midan Bracelets of Fending	Instance	Alexander - The Fist of the Son (Savage)
Wind-up Erichthonios	Instance	Abyssos: The Eighth Circle	Abyssos: The Eighth Circle (Savage)
Wind-up Cagnazzo	Instance	Lapis Manalis
Poogie	Instance	The Great Hunt (Extreme)
Byakko's Stone Sword	Loot	Byakko Weapon Coffer (IL 355)
Nabaath Sword	Loot	Paladin's Nabaath Arms (IL 412)
Bluespirit Sword	Loot	Bluespirit Weapon Coffer (IL 403)
Ktiseos Compound Bow	Instance	Ktisis Hyperboreia
Diamond Zeta Longbow	Loot	Diamond Zeta Weapon Coffer (IL 525)
Diamond Zeta Longbow	Instance	The Cloud Deck (Extreme)
Bayonet of Ascension	Loot	Ascension Weapon Coffer (IL 665)
Asphodelos Bayonet	Loot	Asphodelos Weapon Coffer (IL 605)
Asphodelos Bayonet	Instance	Asphodelos: The Fourth Circle (Savage)
Gunblade of Light	Loot	Light Weapon Coffer (IL 495)
Gunblade of Light	Instance	The Seat of Sacrifice (Extreme)
Palaka Gunblade	Instance	Vanaspati
Longstop Labrys	Instance	Brayflox's Longstop
Ktiseos Gunblade	Instance	Ktisis Hyperboreia
Crier's Bhuj	Instance	Cutter's Cry
True Ice Breaker	Loot	Ice Weapon Coffer (IL 110)
True Ice Breaker	Instance	The Akh Afah Amphitheatre (Extreme)
Abyssos Guillotine	Loot	Abyssos Weapon Coffer (IL 635)
Abyssos Guillotine	Instance	Abyssos: The Eighth Circle (Savage)
Elmlord's Tusk	Instance	The Thousand Maws of Toto-Rak
Integral Magitek Spear	Loot	Chondrite Weapon Coffer (IL 545)
Spear of Light	Loot	Light Weapon Coffer (IL 495)
Spear of Light	Instance	The Seat of Sacrifice (Extreme)
High Allagan Baghnakhs	Loot	High Allagan Weapon Coffer (IL 115)
High Allagan Baghnakhs	Instance	The Second Coil of Bahamut - Turn 4	The Second Coil of Bahamut (Savage) - Turn 4
Glanzfaust	Loot	Level 50 Weapon Coffer (IL 110)
Hellish Claws	Loot	Level 50 Weapon Coffer (IL 90)
Fae Manatrigger	Instance	Dohn Mheg
Nabaath Manatrigger	Instance	Malikah's Well
Tsukuyomi's Crescents	Loot	Tsukuyomi Weapon Coffer (IL 365)
Tsukuyomi's Crescents	Instance	The Minstrel's Ballad: Tsukuyomi's Pain
Edenmorn Zweihander	Loot	Edenmorn Weapon Coffer (IL 535)
Edenmorn Zweihander	Instance	Eden's Promise: Eternity (Savage)
Dzemael Winglet	Loot	Paladin's Dzemael Arms (Lv. 44)
Bluefeather Faussar	Loot	Bluefeather Weapon Coffer (IL 595)
Bluefeather Faussar	Instance	The Minstrel's Ballad: Endsinger's Aria
Faussar of Light	Loot	Light Weapon Coffer (IL 495)
Faussar of Light	Instance	The Seat of Sacrifice (Extreme)
Flametongue	Loot	Paladin's Flametongue Arms (Lv. 35)
Gordian Cesti	Loot	Gordian Weapon Coffer (IL 210)
Gordian Cesti	Instance	Alexander - The Burden of the Father (Savage)
Expanse Patas	Loot	Expanse Weapon Coffer (IL 175)
Expanse Patas	Instance	The Limitless Blue (Extreme)
Midan Metal Knuckles	Loot	Midan Weapon Coffer (IL 245)
Midan Metal Knuckles	Instance	Alexander - The Burden of the Son (Savage)
Points of the Sephirot	Loot	Sephirotic Weapon Coffer (IL 220)
Points of the Sephirot	Instance	Containment Bay S1T7 (Extreme)
Ruby Tide Daggers	Instance	Shisui of the Violet Tides
Baldur Daggers	Instance	Neverreap	The Fractal Continuum
Deepgold Claymore	Loot	White Oak Weapon Coffer (IL 385)
Ravel Keeper's Guillotine	Instance	The Qitana Ravel
Dwarven Mythril Guillotine	Loot	Dwarven Mythril Weapon Coffer (IL 415)
Deepgold Greatsword	Loot	Deepgold Weapon Coffer (IL 395)
Thundersparks	Loot	Levin Weapon Coffer (IL 100)
Thundersparks	Instance	The Striking Tree (Extreme)
High Allagan Cleavers	Loot	High Allagan Weapon Coffer (IL 115)
High Allagan Cleavers	Instance	The Second Coil of Bahamut - Turn 4	The Second Coil of Bahamut (Savage) - Turn 4
High Durium Uchigatana	Loot	Pewter Weapon Coffer (IL 525)
Flamecloaked Blade	Loot	Flamecloaked Weapon Coffer (IL 625)
Flamecloaked Blade	Instance	Mount Ordeals (Extreme)
Allagan Daggers	Loot	Allagan Weapon Coffer (IL 95)
Allagan Daggers	Instance	The Binding Coil of Bahamut - Turn 5
Augmented Crystarium Samurai Blade	Loot	Crystarium Weapon Coffer (IL 500)
Bismuth Axe	Loot	Phrygian Weapon Coffer (IL 533)
Flamecloaked War Axe	Loot	Flamecloaked Weapon Coffer (IL 625)
Flamecloaked War Axe	Instance	Mount Ordeals (Extreme)
Augmented Crystarium Labrys	Loot	Crystarium Weapon Coffer (IL 500)
Carnage Sword	Loot	Level 18 Weapon Coffer
Byakko's Katana	Loot	Byakko Weapon Coffer (IL 355)
Byakko's Katana	Instance	The Jade Stoa (Extreme)
Susano's Tachi	Loot	Susano Weapon Coffer (IL 320)
Susano's Tachi	Instance	The Pool of Tribute (Extreme)
Shinryu's Katana	Loot	Shinryu Weapon Coffer (IL 335)
Shinryu's Katana	Instance	The Minstrel's Ballad: Shinryu's Domain
The King's Axe	Loot	Titania Weapon Coffer (IL 450)
The King's Axe	Instance	The Dancing Plague (Extreme)
Fae Axe	Instance	Dohn Mheg
Diamond Axe	Loot	Diamond Weapon Coffer (IL 375)
Diamond Axe	Instance	Sigmascape V4.0 (Savage)
Seiryu's War Axe	Loot	Seiryu Weapon Coffer (IL 395)
Seiryu's War Axe	Instance	The Wreath of Snakes (Extreme)
Bluespirit Axe	Loot	Bluespirit Weapon Coffer (IL 403)
Katana of Sephirot	Loot	Sephirotic Weapon Coffer (IL 220)
Katana of Sephirot	Instance	Containment Bay S1T7 (Extreme)
Martial Katana	Instance	The Dusk Vigil
Dreadwyrm Katana	Loot	Dreadwyrm Weapon Coffer (IL 135)
Dreadwyrm Katana	Instance	The Final Coil of Bahamut - Turn 4
Lakeland Blade	Instance	Holminster Switch
Ravel Keeper's Blade	Instance	The Qitana Ravel
Alexandrian Metal Spear	Loot	Alexandrian Weapon Coffer (IL 275)
Alexandrian Metal Spear	Instance	Alexander - The Soul of the Creator (Savage)
Seiryu's Rippled Katana	Loot	Seiryu Weapon Coffer (IL 395)
Seiryu's Rippled Katana	Instance	The Wreath of Snakes (Extreme)
Omega Samurai Blade	Loot	Omega Weapon Coffer (IL 405)
Omega Samurai Blade	Instance	Alphascape V4.0 (Savage)
Iwa-toshi Shin	Instance	Doma Castle
Tsukuyomi's Lance	Loot	Tsukuyomi Weapon Coffer (IL 365)
Tsukuyomi's Lance	Instance	The Minstrel's Ballad: Tsukuyomi's Pain
Ruby Partisan	Loot	Ruby Weapon Coffer (IL 485)
Ruby Partisan	Instance	Cinder Drift (Extreme)
Antiquated Ryunohige	Loot	Trueblood Attire Coffer (IL 290)
Ghost Barque Partisan	Instance	The Sirensong Sea
Nabaath Spear	Instance	Malikah's Well
Ravel Keeper's Spear	Instance	The Qitana Ravel
Chondrite Magitek War Scythe	Loot	Chondrite Weapon Coffer (IL 545)
Deepgold Sickle	Loot	Deepgold Weapon Coffer (IL 395)
Fae Sickle	Instance	Dohn Mheg
Sickle of the Heavens	Loot	Heavens Weapon Coffer (IL 205)
Sickle of the Heavens	Instance	The Minstrel's Ballad: Thordan's Reign
Garuda's Blood	Loot	Vortex Weapon Coffer (IL 70)
Garuda's Blood	Instance	The Howling Eye (Hard)
Voidcast Knives	Loot	Voidcast Weapon Coffer (IL 645)
Voidcast Knives	Instance	The Voidcast Dais (Extreme)
Bismuth Daggers	Loot	Phrygian Weapon Coffer (IL 533)
Crimson Tide	Instance	The Thousand Maws of Toto-Rak
Foolkiller	Instance	Sohm Al
Bluefeather Knives	Loot	Bluefeather Weapon Coffer (IL 595)
Bluefeather Knives	Instance	The Minstrel's Ballad: Endsinger's Aria
Midan Metal Axe	Loot	Midan Weapon Coffer (IL 245)
Midan Metal Axe	Instance	Alexander - The Burden of the Son (Savage)
Malignant Mogaxe	Loot	Mogpon Coffer (IL 75)
Malignant Mogaxe	Instance	Thornmarch (Hard)
The Forgiven's Necklace of Aiming	Instance	Mt. Gulg
Giantsgall War Axe	Loot	Level 50 Weapon Coffer (IL 70)
Nabaath Choker of Fending	Instance	Malikah's Well
Triplite Choker of Healing	Loot	Titanbronze Necklace Coffer (IL 409)
Petalite Choker of Healing	Loot	Dwarven Mythril Necklace Coffer (IL 415)
Amaurotine Choker of Fending	Instance	Amaurot	The Twinning	Akadaemia Anyder
Triplite Choker of Fending	Loot	Titanbronze Necklace Coffer (IL 409)
The Forgiven's Necklace of Casting	Instance	Mt. Gulg
Warg Choker of Slaying	Instance	The Grand Cosmos
Ruby Tide Musketoon	Instance	Shisui of the Violet Tides
Zurvanite Fire	Loot	Zurvanite Weapon Coffer (IL 265)
Zurvanite Fire	Instance	Containment Bay Z1T9 (Extreme)
Shisui Kohakama of Healing	Instance	Shisui of the Violet Tides
Alexandrian Gaskins of Aiming	Loot	Alexandrian Leg Gear Coffer (IL 270)
Distance Scale Mail of Healing	Instance	The Aetherfont
Dravanian Gauntlets of Maiming	Instance	The Antitower	The Lost City of Amdapor (Hard)
Void Ark Gloves of Healing	Instance	The Void Ark
Gloves of the Red Thief	Instance	Saint Mocianne's Arboretum	Pharos Sirius (Hard)
Dwarven Cotton Turban of Scouting	Loot	Dwarven Mythril Head Gear Coffer (IL 415)
Gloves of the Daring Duelist	Instance	Saint Mocianne's Arboretum	Pharos Sirius (Hard)
Voeburtite Circlet of Maiming	Instance	Dohn Mheg
Nabaath Headgear of Striking	Instance	Malikah's Well
Atrociraptorskin Headgear of Scouting	Loot	Bluespirit Head Gear Coffer (IL 403)
Ovim Wool Ushanka of Aiming	Loot	Titanbronze Head Gear Coffer (IL 409)
Bluespirit Headgear of Casting	Loot	Bluespirit Head Gear Coffer (IL 403)
Ovim Wool Muffed Met of Healing	Loot	Titanbronze Head Gear Coffer (IL 409)
Diamond Gloves of Healing	Loot	Diamond Hand Gear Coffer (IL 370)
Diamond Gauntlets of Aiming	Loot	Diamond Hand Gear Coffer (IL 370)
Alliance Armguards of Aiming	Instance	The Ghimlyt Dark
Diamond Gauntlets of Scouting	Loot	Diamond Hand Gear Coffer (IL 370)
Brightlinen Long Gloves of Aiming	Loot	White Oak Hand Gear Coffer (IL 385)
Alliance Armguards of Fending	Instance	The Ghimlyt Dark
Alliance Fingerless Gloves of Scouting	Instance	The Ghimlyt Dark
Dai-ryumyaku Kote of Aiming	Loot	Dai-ryumyaku Armor of Aiming Coffer (IL 370)
Kinyoshu Kai	Loot	Dai-ryumyaku Weapon Coffer (IL 370)
Tsukuyomi's Grimoire	Loot	Tsukuyomi Weapon Coffer (IL 365)
Tsukuyomi's Grimoire	Instance	The Minstrel's Ballad: Tsukuyomi's Pain
Zonureskin Grimoire	Loot	Titanbronze Weapon Coffer (IL 409)
Diamond Grimoire	Loot	Diamond Weapon Coffer (IL 375)
Diamond Grimoire	Instance	Sigmascape V4.0 (Savage)
Seiryu's Grimoire	Loot	Seiryu Weapon Coffer (IL 395)
Seiryu's Grimoire	Instance	The Wreath of Snakes (Extreme)
